"","Person"
"1","Abel Advisors"
"2","Abraham Lincoln"
"3","Addison Mizner"
"4","Adrian Bailey"
"5","Al Qaeda"
"6","Alan Bean"
"7","Alan Greenspan"
"8","Alan Greenspans"
"9","Alex Beard"
"10","Alex Salmond"
"11","Alexis Tsipras"
"12","Alison Cooper"
"13","Alison Thompson"
"14","Alvin Jiang"
"15","Andrew Davis"
"16","Andrew Parish"
"17","Andrew Swaffield"
"18","Andy Dunstan"
"19","Andy Swiger"
"20","Anna Derevyanko"
"21","Annette Bongiorno"
"22","Anthony Chiasson"
"23","Antony Jenkins"
"24","Art Peck"
"25","Arthur Brooks"
"26","Arthur T"
"27","Baron Waqa"
"28","Barry Goldwater"
"29","Barry Kaye"
"30","Barry Rosenstein"
"31","Ben Bernanke"
"32","Ben Bernankes"
"33","Ben Silbermann"
"34","Bernard L"
"35","Bert Cason"
"36","Bill Ackman"
"37","Bill Cassidy"
"38","Bill Clinton"
"39","Bill Gates"
"40","Bill Gross"
"41","Bill Nygren"
"42","Bill Simon"
"43","Bill Thompson"
"44","Billy Beane"
"45","Bo Xilai"
"46","Bob Bland"
"47","Bob Dudley"
"48","Bob Michele"
"49","Bob Parsons"
"50","Bob Wilson"
"51","Boston Fed"
"52","Brian Gilvary"
"53","Brian Moynihan"
"54","Bruce Halle"
"55","Bryan Shinn"
"56","Carl Icahn"
"57","Carl Ichan"
"58","Carlos Slim"
"59","Charles Ergen"
"60","Charles Sizemore"
"61","Charlie Munger"
"62","Chris Lucas"
"63","Chris Shumway"
"64","Chris Viehbacher"
"65","Christian Aid"
"66","Christine Lagarde"
"67","Cleveland Fed"
"68","Conrad Hilton"
"69","Cornell University"
"70","Craig Menear"
"71","Dallas Fed"
"72","Dallas Fedshowed"
"73","Dan Fuss"
"74","Dan Loeb"
"75","Dan Newhall"
"76","Daniel Bonaventure"
"77","Daniel Ivascyn"
"78","Daniel Loeb"
"79","Daniel Newhall"
"80","Daniel Schwartz"
"81","Danny Meyer"
"82","Darrell Issa"
"83","Dave Lewis"
"84","David Cheriton"
"85","David Einhorn"
"86","David Fincher"
"87","David Marcus"
"88","David Rubenstein"
"89","David Schawel"
"90","David Tepper"
"91","Davis Funds"
"92","Delano Capital"
"93","Derek Stevens"
"94","Dick Weil"
"95","Dillon Gage"
"96","Don Kagin"
"97","Donald Trump"
"98","Dorothy Wang"
"99","Doug Stephens"
"100","Ed Crane"
"101","Ed Lonergan"
"102","Eddie Lampert"
"103","Eduardo Campos"
"104","Elena Ambrosiadou"
"105","Elias Bizannes"
"106","Elias Torres"
"107","Enzo Ferrari"
"108","Eric Franchi"
"109","Eric Munz"
"110","Freddie Mac"
"111","Gail Fenumiai"
"112","Gary Cohn"
"113","Gary Gensler"
"114","George Dickel"
"115","George Soros"
"116","George W"
"117","Geraldine Sundstrom"
